"""
    Chapter 最終問題 49.      Kaggleのデータ分析コンテストに挑戦する.
                            ・提出はデータ分析に使用したコード(.py)と予測結果の出力(.txt)の二つを提出せよ．
                            ・予測精度の高さとコードの内容を総合的に評価する．
                            House Prices: Advanced Regression Techniquesのデータ分析に挑戦せよ．
"""

------------------------------------------------------
予測精度 (Accuracy): 0.12473
------------------------------------------------------

コードのコメントに関する部分は，丁寧な日本語にするため，生成AIに補助してもらった．

＜参考文献＞
muscle_nishimi. 「【Kaggle】「House Prices」をパクりながらやってみた。」. Qiita. https://qiita.com/muscle_nishimi/items/901ed94f3cdf1c8d893a (2026年1月13日閲覧)

以下，train_dataでの予測結果である．

Id,SalePrice
1461,124006.74149076478
1462,159152.08714361707
1463,185456.2639419878
1464,194799.2180995445
1465,190895.30377331798
1466,173018.8601806463
1467,178934.0577363999
1468,168738.2998745764
1469,187616.02930771667
1470,126120.83952954871
1471,191475.70745274547
1472,95112.58207290822
1473,98149.15432022428
1474,154354.27795035453
1475,129225.06592678721
1476,378956.6265661378
1477,251617.76743277203
1478,279626.9648808514
1479,282689.83261595323
1480,505698.99265036633
1481,346362.2861207339
1482,207333.57784792574
1483,177304.82053847113
1484,165404.4925382115
1485,180650.48543415466
1486,194884.2668912019
1487,348969.2468491764
1488,237072.7982976079
1489,193522.51816295926
1490,227044.1045468286
1491,184683.85250316304
1492,93654.78822936266
1493,175110.92844278793
1494,291065.0604074118
1495,298892.5911622395
1496,237656.51639155074
1497,185656.36056219152
1498,161099.86087928675
1499,161739.52751159132
1500,154776.29731222027
1501,172164.73586913332
1502,152677.38511821607
1503,285103.2722980319
1504,239296.6423606193
1505,223449.83613857138
1506,187404.95974005575
1507,232939.4309378818
1508,200275.33911942353
1509,164414.45822447722
1510,146993.74740475608
1511,142746.60186960522
1512,171706.61895697218
1513,132848.71740503068
1514,151023.30557782538
1515,175468.1979245651
1516,150782.62801870017
1517,159559.59954165164
1518,130431.55625030545
1519,206880.9894255618
1520,133911.05597555375
1521,133121.97383388822
1522,166357.76829785522
1523,117206.36722691567
1524,129423.24949167865
1525,125297.90902280105
1526,117051.64002999764
1527,111521.24902724754
1528,135643.9108516636
1529,146637.9723414161
1530,169948.92397477667
1531,103333.82260879943
1532,103405.22881919674
1533,151500.3886914845
1534,123936.01807735856
1535,157505.97563549803
1536,112489.5197248753
1537,61395.33219185097
1538,154581.00056132433
1539,196869.6032930846
1540,93271.154188147
1541,145058.85674803006
1542,135164.2957274699
1543,219455.45154919836
1544,75447.72036877241
1545,101966.49534514654
1546,125609.26926064224
1547,130412.27605107715
1548,134685.2956372507
1549,108572.88854696954
1550,135549.44423961916
1551,117933.55196775388
1552,133663.6649292116
1553,157274.5736304842
1554,116941.37571750442
1555,177399.8169878941
1556,94262.16348916593
1557,114957.54121300417
1558,92291.07450553309
1559,86864.35986601312
1560,144265.58775148963
1561,137199.1456662581
1562,130141.65666001567
1563,123092.33003560593
1564,155355.2458455395
1565,142775.5153166171
1566,228919.0149931066
1567,71635.72037260079
1568,232125.59166502554
1569,143264.11624097236
1570,133254.59548571886
1571,116999.06921464864
1572,146718.4080142569
1573,241674.02914856368
1574,116684.0694610706
1575,219216.95377784755
1576,225217.12341898907
1577,186125.51493393088
1578,152152.72074005794
1579,145040.54578403998
1580,189033.20010464458
1581,152575.0260117834
1582,133355.88696126512
1583,333701.34312271845
1584,230391.5238939639
1585,143171.65170528198
1586,73399.0303047744
1587,95379.16826231565
1588,144812.96285814123
1589,94094.069014596
1590,135239.60147970382
1591,98029.08686389816
1592,126401.49659368095
1593,133323.27918764277
1594,132755.16042458446
1595,119767.85830914394
1596,238479.35828437988
1597,187551.59982090382
1598,195260.77007911378
1599,170741.21525372926
1600,168490.81507790418
1601,69861.70845704811
1602,111572.92549298386
1603,91854.00514330203
1604,285409.0601384261
1605,230997.85321575787
1606,169139.62513196532
1607,161701.8975294549
1608,215604.84965508632
1609,186163.2621002134
1610,153976.64398988898
1611,139956.9301034574
1612,159818.1997823324
1613,155481.3062032268
1614,126898.71202994266
1615,89973.84297095494
1616,73345.73413216339
1617,92933.10917359022
1618,126244.58271493767
1619,137191.21603657448
1620,153600.17026013907
1621,134923.81925396196
1622,141942.87395629694
1623,264869.9981383018
1624,199319.7054671326
